id,requirement,priority_or_target,source,line,implementation_slices,verification,status,evidence
FR-031,Implement local backtesting,P0,docs/TradeX_PRD_v1.0_RevC.md,2826,S15,冻结输入重跑与缺口/时区/调整/no-lookahead 反例；完整指标与取消/比较,NOT_STARTED,
FR-032,Implement strategy sandbox,P0,docs/TradeX_PRD_v1.0_RevC.md,2827,S14,真实 sandbox worker 尝试 network/files/keychain/gateway 被拒；版本内容哈希,NOT_STARTED,
FR-033,Implement paper/demo/testnet trading workflows,P0,docs/TradeX_PRD_v1.0_RevC.md,2828,"S16,S17,S18,S19,S20",Local Paper 真实持久化现金/持仓/订单更新；环境明确且无 Live gateway I/O；Alpaca Paper 官方环境 place/query/cancel/stream 与 contract/fault 检查；Trading 212 Demo 官方环境身份/权限/下单查询撤单与不确定结果检查；Binance Spot Testnet 官方环境规则/签名/时间/数量/下单查询撤单检查；Bitget Spot Demo 官方支持证据、环境标记及下单查询撤单检查,NOT_STARTED,
FR-034,Implement deterministic error taxonomy and UI mapping,P1,docs/TradeX_PRD_v1.0_RevC.md,2829,"S01,S32",实际 Tauri invoke；临时 SQLite 重开；command/result/event/snapshot/replay 拒绝与恢复；Settings 行为、opt-in 网络观测、诊断错误分类及代表性日志秘密扫描,IN_PROGRESS,S01: docs/implementation/s01-evidence.md; code 2424dd5bdadb76a63fdf485caff4bc66d7466781. Workspace contribution verified; remaining mapped slices are incomplete.
FR-035,Implement natural-language screener,P1,docs/TradeX_PRD_v1.0_RevC.md,2830,S11,编辑 FilterSpec/RankSpec 改变实际筛选；stale/empty/failure 与选择身份回归,NOT_STARTED,
FR-036,Implement artifacts,P1,docs/TradeX_PRD_v1.0_RevC.md,2831,S12,关闭重开 Artifact；导出内容与 immutable provenance/审计链核对,NOT_STARTED,
FR-037,Implement strategy versioning,P1,docs/TradeX_PRD_v1.0_RevC.md,2832,S14,真实 sandbox worker 尝试 network/files/keychain/gateway 被拒；版本内容哈希,NOT_STARTED,
FR-038,Implement market calendar and corporate actions,P1,docs/TradeX_PRD_v1.0_RevC.md,2833,S08,注入 clock jump/resume/skew/stale/calendar/halt 条件并验证权限 fail closed,NOT_STARTED,
FR-039,Implement configurable data retention,P1,docs/TradeX_PRD_v1.0_RevC.md,2834,S31,有效/恶意归档路径/schema/密钥/迁移中断/恢复前备份/恢复后 disarm 与对账,NOT_STARTED,
FR-040,Implement workspace export/import,P1,docs/TradeX_PRD_v1.0_RevC.md,2835,S31,有效/恶意归档路径/schema/密钥/迁移中断/恢复前备份/恢复后 disarm 与对账,NOT_STARTED,
FR-041,Add futures support,P2,docs/TradeX_PRD_v1.0_RevC.md,2836,DEFERRED,PRD 明确 P2，不属于 v1.0,DEFERRED,
FR-042,Add A-share research/data integration,P2,docs/TradeX_PRD_v1.0_RevC.md,2837,DEFERRED,PRD 明确 P2，不属于 v1.0,DEFERRED,
FR-043,Add additional brokers/exchanges,P2,docs/TradeX_PRD_v1.0_RevC.md,2838,DEFERRED,PRD 明确 P2，不属于 v1.0,DEFERRED,
FR-044,Implement complete five-step onboarding flow,P0,docs/TradeX_PRD_v1.0_RevC.md,2839,"S01,S02,S03,S21",实际 Tauri invoke；临时 SQLite 重开；command/result/event/snapshot/replay 拒绝与恢复；原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储；实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例；全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version,IN_PROGRESS,S01: docs/implementation/s01-evidence.md; code 2424dd5bdadb76a63fdf485caff4bc66d7466781. Workspace contribution verified; remaining mapped slices are incomplete.
FR-045,Implement interactive thread history and resume navigation,P0,docs/TradeX_PRD_v1.0_RevC.md,2840,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
FR-046,Implement context/account/model pickers,P0,docs/TradeX_PRD_v1.0_RevC.md,2841,S05,真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立,NOT_STARTED,
FR-047,Implement provider connection test + permission/capability review,P0,docs/TradeX_PRD_v1.0_RevC.md,2842,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
FR-048,Implement provider-specific account-detail variants,P0,docs/TradeX_PRD_v1.0_RevC.md,2843,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
FR-049,Implement live order cancellation approval lifecycle,P0,docs/TradeX_PRD_v1.0_RevC.md,2844,S26,disarmed CANCEL→Arm→刷新原意图；cancel ACK≠terminal；partial fill 恰好一次调整,NOT_STARTED,
FR-050,Implement explicit Risk Rejected / Broker Rejected / Approval Expired UI states,P0,docs/TradeX_PRD_v1.0_RevC.md,2845,"S22,S25",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
FR-051,Implement startup/auth/stream-disconnected recovery states,P0,docs/TradeX_PRD_v1.0_RevC.md,2846,S27,真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
FR-052,Implement market-order maximum-authorized-notional approval UI,P0,docs/TradeX_PRD_v1.0_RevC.md,2847,S22,无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
FR-053,Implement complete natural-language screener builder flow,P1,docs/TradeX_PRD_v1.0_RevC.md,2848,S11,编辑 FilterSpec/RankSpec 改变实际筛选；stale/empty/failure 与选择身份回归,NOT_STARTED,
FR-054,Implement backtest running/failed/compare states,P1,docs/TradeX_PRD_v1.0_RevC.md,2849,S15,冻结输入重跑与缺口/时区/调整/no-lookahead 反例；完整指标与取消/比较,NOT_STARTED,
FR-055,Implement artifact provenance surface,P1,docs/TradeX_PRD_v1.0_RevC.md,2850,S12,关闭重开 Artifact；导出内容与 immutable provenance/审计链核对,NOT_STARTED,
FR-056,Implement Ask mode with no execution capability,P0,docs/TradeX_PRD_v1.0_RevC.md,2851,S05,真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立,NOT_STARTED,
FR-057,Implement complete live-approval market snapshot provenance,P0,docs/TradeX_PRD_v1.0_RevC.md,2852,S22,无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
FR-058,Implement risk-policy-change approval invalidation lifecycle,P0,docs/TradeX_PRD_v1.0_RevC.md,2853,"S21,S23,S27",全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version；双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态；真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
FR-059,Implement reservation-conflict UI/reasoning surface,P0,docs/TradeX_PRD_v1.0_RevC.md,2854,S23,双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态,NOT_STARTED,
FR-060,"Implement complete Demo/Testnet order lifecycle variants for Trading 212, Binance, and Bitget",P0,docs/TradeX_PRD_v1.0_RevC.md,2855,"S18,S19,S20",Trading 212 Demo 官方环境身份/权限/下单查询撤单与不确定结果检查；Binance Spot Testnet 官方环境规则/签名/时间/数量/下单查询撤单检查；Bitget Spot Demo 官方支持证据、环境标记及下单查询撤单检查,NOT_STARTED,
FR-061,Implement complete normalized order-state UI mapping including `RESERVED`,P0,docs/TradeX_PRD_v1.0_RevC.md,2856,"S22,S25",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
FR-062,Implement market-session / halt / corporate-action product surfaces,P1,docs/TradeX_PRD_v1.0_RevC.md,2857,S08,注入 clock jump/resume/skew/stale/calendar/halt 条件并验证权限 fail closed,NOT_STARTED,
FR-063,Implement workspace import/restore workflow,P1,docs/TradeX_PRD_v1.0_RevC.md,2858,S31,有效/恶意归档路径/schema/密钥/迁移中断/恢复前备份/恢复后 disarm 与对账,NOT_STARTED,
FR-064,Implement complete canonical error-remediation surfaces,P1,docs/TradeX_PRD_v1.0_RevC.md,2859,"S01,S32",实际 Tauri invoke；临时 SQLite 重开；command/result/event/snapshot/replay 拒绝与恢复；Settings 行为、opt-in 网络观测、诊断错误分类及代表性日志秘密扫描,IN_PROGRESS,S01: docs/implementation/s01-evidence.md; code 2424dd5bdadb76a63fdf485caff4bc66d7466781. Workspace contribution verified; remaining mapped slices are incomplete.
FR-065,Implement portfolio FX provenance display,P1,docs/TradeX_PRD_v1.0_RevC.md,2860,S09,多币与 depeg 估值；真实 source/path/双时间戳；不可信转换阻止依赖性 Live risk,NOT_STARTED,
FR-066,"Implement full backtest metric set including Sortino, profit factor, and turnover",P1,docs/TradeX_PRD_v1.0_RevC.md,2861,S15,冻结输入重跑与缺口/时区/调整/no-lookahead 反例；完整指标与取消/比较,NOT_STARTED,
FR-067,Implement provider-schema-driven credential/configuration forms,P1,docs/TradeX_PRD_v1.0_RevC.md,2862,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
FR-068,"Implement LLM provider connection workflow (CLIProxyAPI OAuth / DeepSeek key), schema-driven per §26.3",P0,docs/TradeX_PRD_v1.0_RevC.md,2863,S03,实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例,NOT_STARTED,
FR-069,Implement CLIProxyAPI sidecar lifecycle: launch/supervise/health-check (`/v1/models` probe)/backoff restart/port-conflict handling,P0,docs/TradeX_PRD_v1.0_RevC.md,2864,S03,实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例,NOT_STARTED,
FR-070,Implement subscription quota display and exhaustion handling (provider-reported windows where available; in-flight attempt behavior; explicit switch/retry),P0,docs/TradeX_PRD_v1.0_RevC.md,2865,S03,实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例,NOT_STARTED,
FR-071,Implement LLM error categories and recovery states (`MODEL_UNAVAILABLE` / `QUOTA_EXCEEDED` / `OAUTH_EXPIRED`) with remediation UI,P0,docs/TradeX_PRD_v1.0_RevC.md,2866,S03,实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例,NOT_STARTED,
FR-072,Record per-turn model/provider provenance and write model switches/degradations to the audit trail,P0,docs/TradeX_PRD_v1.0_RevC.md,2867,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
FR-073,"Implement model routing/fallback policy: cross-provider automatic fallback OFF by default, explicit opt-in, full audit/disclosure, and no capability change",P0,docs/TradeX_PRD_v1.0_RevC.md,2868,S03,实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例,NOT_STARTED,
FR-074,Separate Agent Mode from Execution Context and enforce the compatibility matrix,P0,docs/TradeX_PRD_v1.0_RevC.md,2869,S05,真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立,NOT_STARTED,
FR-075,Persist immutable per-turn mode/account/execution/model/provider/context snapshots,P0,docs/TradeX_PRD_v1.0_RevC.md,2870,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
FR-076,Implement evidence-based Manual Resolution for `UNKNOWN_RECONCILING`; no blind reservation release,P0,docs/TradeX_PRD_v1.0_RevC.md,2871,S25,provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
FR-077,Implement TimeService clock-skew/freshness/TTL safeguards for live authority decisions,P0,docs/TradeX_PRD_v1.0_RevC.md,2872,S08,注入 clock jump/resume/skew/stale/calendar/halt 条件并验证权限 fail closed,NOT_STARTED,
FR-078,Block/review dangerous provider permissions (withdrawal/transfer/custody/margin/leverage) before live readiness,P0,docs/TradeX_PRD_v1.0_RevC.md,2873,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
FR-079,Implement FX/stablecoin valuation provenance and depeg/quality handling,P1,docs/TradeX_PRD_v1.0_RevC.md,2874,S09,多币与 depeg 估值；真实 source/path/双时间戳；不可信转换阻止依赖性 Live risk,NOT_STARTED,
FR-080,Implement editable OrderDraft → immutable OrderProposal regeneration semantics,P0,docs/TradeX_PRD_v1.0_RevC.md,2875,S13,全字段编辑/刷新产生新身份与 hash；旧对象不变、旧审批失效,NOT_STARTED,
AC-001,User can create a TradeX thread and see streamed agent items before the complete turn finishes.,AC,docs/TradeX_PRD_v1.0_RevC.md,3285,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
AC-002,User can close and reopen TradeX and resume a persisted thread.,AC,docs/TradeX_PRD_v1.0_RevC.md,3288,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
AC-003,"Tool calls display name, state, duration, and structured summary.",AC,docs/TradeX_PRD_v1.0_RevC.md,3291,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
AC-004,Demo and live accounts are represented as distinct connections.,AC,docs/TradeX_PRD_v1.0_RevC.md,3304,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
AC-005,TradeX validates provider capabilities when an account connects.,AC,docs/TradeX_PRD_v1.0_RevC.md,3307,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
AC-006,Live execution is disabled if account reconciliation is incomplete.,AC,docs/TradeX_PRD_v1.0_RevC.md,3310,"S22,S27",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
AC-007,"Agent can combine market data, portfolio state, and research in one thread.",AC,docs/TradeX_PRD_v1.0_RevC.md,3329,S10,实际工具结果标记进入最终结果；缺失/篡改负例；来源及注入隔离,NOT_STARTED,
AC-008,"Every market snapshot shown in a live approval has source, provider timestamp, TradeX received timestamp, venue, realtime/delayed entitlement, and freshness state.",AC,docs/TradeX_PRD_v1.0_RevC.md,3332,"S07,S22",真实 provider snapshot/历史与 DuckDB 查询；canonical identity 和订阅上限；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
AC-009,User can submit an Alpaca Paper order and see resulting broker state.,AC,docs/TradeX_PRD_v1.0_RevC.md,3348,S17,Alpaca Paper 官方环境 place/query/cancel/stream 与 contract/fault 检查,NOT_STARTED,
AC-010,"User can execute supported Demo/Testnet order workflows on Trading 212, Binance, and Bitget where available, with explicit environment labels through acknowledgement/fill state.",AC,docs/TradeX_PRD_v1.0_RevC.md,3351,"S18,S19,S20",Trading 212 Demo 官方环境身份/权限/下单查询撤单与不确定结果检查；Binance Spot Testnet 官方环境规则/签名/时间/数量/下单查询撤单检查；Bitget Spot Demo 官方支持证据、环境标记及下单查询撤单检查,NOT_STARTED,
AC-011,A live order cannot be submitted without a valid TradeX financial approval.,AC,docs/TradeX_PRD_v1.0_RevC.md,3358,"S22,S23,S24",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
AC-012,A generic Codex approval cannot authorize live financial execution.,AC,docs/TradeX_PRD_v1.0_RevC.md,3361,"S22,S23,S24",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
AC-013,"Changing instrument, side, quantity, account, order type, price, or time-in-force invalidates prior approval.",AC,docs/TradeX_PRD_v1.0_RevC.md,3364,"S13,S22",全字段编辑/刷新产生新身份与 hash；旧对象不变、旧审批失效；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
AC-014,A relevant risk-policy change invalidates affected pending approvals; weakening policy additionally disarms the affected live account.,AC,docs/TradeX_PRD_v1.0_RevC.md,3367,"S21,S23,S27",全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version；双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态；真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
AC-015,A stale market snapshot prevents execution until refreshed.,AC,docs/TradeX_PRD_v1.0_RevC.md,3370,"S08,S22,S24",注入 clock jump/resume/skew/stale/calendar/halt 条件并验证权限 fail closed；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
AC-016,Risk state is revalidated immediately before submission.,AC,docs/TradeX_PRD_v1.0_RevC.md,3373,"S08,S22,S24",注入 clock jump/resume/skew/stale/calendar/halt 条件并验证权限 fail closed；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
AC-017,Two concurrent threads cannot reserve the same cash or exposure.,AC,docs/TradeX_PRD_v1.0_RevC.md,3376,S23,双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态,NOT_STARTED,
AC-018,Agent cannot modify risk policy.,AC,docs/TradeX_PRD_v1.0_RevC.md,3379,"S05,S21",真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version,NOT_STARTED,
AC-019,Agent cannot access the privileged Order Gateway directly.,AC,docs/TradeX_PRD_v1.0_RevC.md,3382,"S05,S24",真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
AC-020,Model never receives broker secrets.,AC,docs/TradeX_PRD_v1.0_RevC.md,3385,"S02,S05,S24,S32",原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储；真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界；Settings 行为、opt-in 网络观测、诊断错误分类及代表性日志秘密扫描,NOT_STARTED,
AC-021,Broker acknowledgement is never displayed as a fill unless broker state confirms fill.,AC,docs/TradeX_PRD_v1.0_RevC.md,3425,S25,provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
AC-022,Ambiguous submission moves to `UNKNOWN_RECONCILING`.,AC,docs/TradeX_PRD_v1.0_RevC.md,3428,S25,provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
AC-023,TradeX never blindly retries a non-idempotent provider order POST after ambiguous timeout.,AC,docs/TradeX_PRD_v1.0_RevC.md,3431,S25,provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
AC-024,Lost private-stream connectivity triggers degraded state and reconciliation.,AC,docs/TradeX_PRD_v1.0_RevC.md,3434,S27,真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
AC-025,Restarting the app reconciles open live orders before enabling new live submissions.,AC,docs/TradeX_PRD_v1.0_RevC.md,3437,S27,真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
AC-026,Every live order has a durable chain from proposal → risk evaluation → approval → reservation → execution attempt → provider state.,AC,docs/TradeX_PRD_v1.0_RevC.md,3440,"S12,S25",关闭重开 Artifact；导出内容与 immutable provenance/审计链核对；provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
AC-027,Strategy code cannot access broker credentials.,AC,docs/TradeX_PRD_v1.0_RevC.md,3453,S14,真实 sandbox worker 尝试 network/files/keychain/gateway 被拒；版本内容哈希,NOT_STARTED,
AC-028,External research content cannot authorize a trade.,AC,docs/TradeX_PRD_v1.0_RevC.md,3456,"S05,S10",真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；实际工具结果标记进入最终结果；缺失/篡改负例；来源及注入隔离,NOT_STARTED,
